sample_size,time,formula,num_params,seed,loss
200000,11.943840503692627,(user_latents|item) + (item_latents|constant),1,0,-1236782.75
200000,22.847604990005493,(user_latents|item) + (item_latents|constant),5,0,-1207136.0
200000,20.176707983016968,(user_latents|item) + (item_latents|constant),10,0,-1175839.25
200000,37.850820541381836,(user_latents|item) + (item_latents|constant),15,0,-1153139.75
200000,90.9713568687439,(user_latents|item) + (item_latents|constant),20,0,-1125251.25
200000,186.5785117149353,(user_latents|item) + (item_latents|constant),30,0,-1092296.375
200000,6.568283796310425,(user_latents|item),1,0,-1236775.25
200000,8.837684392929077,(user_latents|item),5,0,-1207195.125
200000,11.11337685585022,(user_latents|item),10,0,-1175955.125
200000,16.58396053314209,(user_latents|item),15,0,-1153356.75
200000,35.686811685562134,(user_latents|item),20,0,-1125489.0
200000,55.27764272689819,(user_latents|item),30,0,-1092652.5
200000,6.5274693965911865,(item_latents|constant),1,0,-1242888.0
200000,11.38486909866333,(item_latents|constant),5,0,-1242632.625
200000,13.473217964172363,(item_latents|constant),10,0,-1242327.625
200000,16.741527318954468,(item_latents|constant),15,0,-1242199.25
200000,15.236533403396606,(item_latents|constant),20,0,-1242098.375
200000,21.314890384674072,(item_latents|constant),30,0,-1240951.25
200000,12.578064680099487,(user_latents|item) + (item_latents|constant),1,1,-1236783.5
200000,11.254997491836548,(user_latents|item) + (item_latents|constant),5,1,-1207115.75
200000,30.614042043685913,(user_latents|item) + (item_latents|constant),10,1,-1175847.0
200000,32.23833608627319,(user_latents|item) + (item_latents|constant),15,1,-1153160.625
200000,76.95139145851135,(user_latents|item) + (item_latents|constant),20,1,-1125235.375
200000,189.3518581390381,(user_latents|item) + (item_latents|constant),30,1,-1092283.375
200000,6.7646753787994385,(user_latents|item),1,1,-1236775.25
200000,8.40586233139038,(user_latents|item),5,1,-1207195.125
200000,10.981437683105469,(user_latents|item),10,1,-1175955.125
200000,17.474098920822144,(user_latents|item),15,1,-1153352.25
200000,36.504841566085815,(user_latents|item),20,1,-1125489.0
200000,55.84194254875183,(user_latents|item),30,1,-1092652.875
200000,9.564080476760864,(item_latents|constant),1,1,-1242888.25
200000,10.282169103622437,(item_latents|constant),5,1,-1242633.875
200000,13.677526235580444,(item_latents|constant),10,1,-1242327.125
200000,20.3049635887146,(item_latents|constant),15,1,-1242198.875
200000,18.501460790634155,(item_latents|constant),20,1,-1242098.875
200000,22.205225944519043,(item_latents|constant),30,1,-1240950.75
200000,7.9074225425720215,(user_latents|item) + (item_latents|constant),1,2,-1236774.375
200000,17.675140380859375,(user_latents|item) + (item_latents|constant),5,2,-1207119.5
200000,24.637762784957886,(user_latents|item) + (item_latents|constant),10,2,-1175860.875
200000,65.22603130340576,(user_latents|item) + (item_latents|constant),15,2,-1153150.375
200000,72.22828221321106,(user_latents|item) + (item_latents|constant),20,2,-1125242.5
200000,188.03058671951294,(user_latents|item) + (item_latents|constant),30,2,-1092301.875
200000,6.862700462341309,(user_latents|item),1,2,-1236775.25
200000,8.832303762435913,(user_latents|item),5,2,-1207194.875
200000,11.080513954162598,(user_latents|item),10,2,-1175955.125
200000,16.042063236236572,(user_latents|item),15,2,-1153359.5
200000,36.46423959732056,(user_latents|item),20,2,-1125489.0
200000,54.41116905212402,(user_latents|item),30,2,-1092652.5
200000,8.87230110168457,(item_latents|constant),1,2,-1242888.0
200000,11.010629415512085,(item_latents|constant),5,2,-1242634.25
200000,13.093365907669067,(item_latents|constant),10,2,-1242327.75
200000,16.317771673202515,(item_latents|constant),15,2,-1242199.0
200000,21.82863140106201,(item_latents|constant),20,2,-1242098.0
200000,20.52994704246521,(item_latents|constant),30,2,-1240951.5
200000,8.26157832145691,(user_latents|item) + (item_latents|constant),1,3,-1236773.875
200000,14.958418130874634,(user_latents|item) + (item_latents|constant),5,3,-1207116.5
200000,43.382375717163086,(user_latents|item) + (item_latents|constant),10,3,-1175848.125
200000,60.292290925979614,(user_latents|item) + (item_latents|constant),15,3,-1153133.125
200000,99.057213306427,(user_latents|item) + (item_latents|constant),20,3,-1125253.375
200000,156.47059106826782,(user_latents|item) + (item_latents|constant),30,3,-1092283.5
200000,6.493817329406738,(user_latents|item),1,3,-1236775.25
200000,8.974374771118164,(user_latents|item),5,3,-1207194.875
200000,11.046539068222046,(user_latents|item),10,3,-1175955.125
200000,16.528634548187256,(user_latents|item),15,3,-1153356.75
200000,36.37860941886902,(user_latents|item),20,3,-1125489.0
200000,54.28945541381836,(user_latents|item),30,3,-1092653.25
200000,9.388874053955078,(item_latents|constant),1,3,-1242888.0
200000,9.713069677352905,(item_latents|constant),5,3,-1242632.625
200000,12.457450151443481,(item_latents|constant),10,3,-1242326.875
200000,14.841468811035156,(item_latents|constant),15,3,-1242199.875
200000,17.091707229614258,(item_latents|constant),20,3,-1242098.25
200000,20.902156591415405,(item_latents|constant),30,3,-1240951.0
200000,8.155824422836304,(user_latents|item) + (item_latents|constant),1,4,-1236774.75
200000,25.339773178100586,(user_latents|item) + (item_latents|constant),5,4,-1207143.75
200000,31.80983304977417,(user_latents|item) + (item_latents|constant),10,4,-1175841.75
200000,44.66236448287964,(user_latents|item) + (item_latents|constant),15,4,-1153146.25
200000,69.51872491836548,(user_latents|item) + (item_latents|constant),20,4,-1125258.5
200000,193.13875889778137,(user_latents|item) + (item_latents|constant),30,4,-1092293.25
200000,6.9763243198394775,(user_latents|item),1,4,-1236775.25
200000,8.448612213134766,(user_latents|item),5,4,-1207195.125
200000,11.112303018569946,(user_latents|item),10,4,-1175955.125
200000,16.7823646068573,(user_latents|item),15,4,-1153355.375
200000,36.297850370407104,(user_latents|item),20,4,-1125489.0
200000,54.04657053947449,(user_latents|item),30,4,-1092653.25
200000,6.987778186798096,(item_latents|constant),1,4,-1242888.5
200000,10.739408016204834,(item_latents|constant),5,4,-1242632.75
200000,13.248807430267334,(item_latents|constant),10,4,-1242327.375
200000,14.838492631912231,(item_latents|constant),15,4,-1242199.625
200000,18.683000802993774,(item_latents|constant),20,4,-1242098.25
200000,21.14287805557251,(item_latents|constant),30,4,-1240950.875
