sample_size,time,formula,seed,loss
1000,0.20484685897827148,(user_latents|item) + (item_latents|constant),0,-255319.078125
2000,0.13297629356384277,(user_latents|item) + (item_latents|constant),0,-1310388.5
3000,0.17875957489013672,(user_latents|item) + (item_latents|constant),0,-2532197.75
5000,0.2678415775299072,(user_latents|item) + (item_latents|constant),0,-4596902.5
7000,0.4101107120513916,(user_latents|item) + (item_latents|constant),0,-7914178.0
10000,0.5076520442962646,(user_latents|item) + (item_latents|constant),0,-16657630.0
30000,1.5868864059448242,(user_latents|item) + (item_latents|constant),0,-155957504.0
50000,2.4006733894348145,(user_latents|item) + (item_latents|constant),0,-462183744.0
70000,3.766052484512329,(user_latents|item) + (item_latents|constant),0,-823580544.0
100000,4.734259128570557,(user_latents|item) + (item_latents|constant),0,-1813816064.0
200000,10.193280458450317,(user_latents|item) + (item_latents|constant),0,-7643067904.0
1000,0.06830239295959473,(user_latents|item),0,-6073.67578125
2000,0.09625768661499023,(user_latents|item),0,-60164.2109375
3000,0.12732195854187012,(user_latents|item),0,-266970.5625
5000,0.19057774543762207,(user_latents|item),0,-1007056.625
7000,0.2514653205871582,(user_latents|item),0,-1152661.875
10000,0.34385108947753906,(user_latents|item),0,-1679382.5
30000,0.9561762809753418,(user_latents|item),0,-6665067.0
50000,1.6581151485443115,(user_latents|item),0,-15445486.0
70000,2.353053092956543,(user_latents|item),0,-28581534.0
100000,3.2191519737243652,(user_latents|item),0,-46611936.0
200000,6.383840322494507,(user_latents|item),0,-125507696.0
1000,0.06674885749816895,(item_latents|constant),0,-186709.984375
2000,0.09318399429321289,(item_latents|constant),0,-777881.125
3000,0.12426877021789551,(item_latents|constant),0,-1937898.375
5000,0.18940162658691406,(item_latents|constant),0,-5428219.0
7000,0.24703574180603027,(item_latents|constant),0,-10232581.0
10000,0.3502063751220703,(item_latents|constant),0,-27515016.0
30000,0.94815993309021,(item_latents|constant),0,-203452288.0
50000,1.823392629623413,(item_latents|constant),0,-525580160.0
70000,2.270416021347046,(item_latents|constant),0,-1057192832.0
100000,3.2191219329833984,(item_latents|constant),0,-2332270080.0
200000,6.365899324417114,(item_latents|constant),0,-8006773760.0
1000,0.08326172828674316,(user_latents|item) + (item_latents|constant),1,-259205.90625
2000,0.12900805473327637,(user_latents|item) + (item_latents|constant),1,-1032021.375
3000,0.17466521263122559,(user_latents|item) + (item_latents|constant),1,-2608489.0
5000,0.26758694648742676,(user_latents|item) + (item_latents|constant),1,-5809354.0
7000,0.3665182590484619,(user_latents|item) + (item_latents|constant),1,-7790990.5
10000,0.672119140625,(user_latents|item) + (item_latents|constant),1,-14623276.0
30000,1.9226553440093994,(user_latents|item) + (item_latents|constant),1,-158350640.0
50000,3.071695566177368,(user_latents|item) + (item_latents|constant),1,-444422112.0
70000,3.4694392681121826,(user_latents|item) + (item_latents|constant),1,-812707392.0
100000,5.1295485496521,(user_latents|item) + (item_latents|constant),1,-1852909824.0
200000,9.527177572250366,(user_latents|item) + (item_latents|constant),1,-7707900928.0
1000,0.06476593017578125,(user_latents|item),1,-5943.8056640625
2000,0.09369063377380371,(user_latents|item),1,-55677.859375
3000,0.12546968460083008,(user_latents|item),1,-262068.671875
5000,0.1879127025604248,(user_latents|item),1,-1181905.0
7000,0.24991559982299805,(user_latents|item),1,-1403280.5
10000,0.34447216987609863,(user_latents|item),1,-1800798.0
30000,0.956829309463501,(user_latents|item),1,-7516142.5
50000,1.6050970554351807,(user_latents|item),1,-14757949.0
70000,2.3339755535125732,(user_latents|item),1,-27518622.0
100000,3.2879977226257324,(user_latents|item),1,-45541932.0
200000,6.4280922412872314,(user_latents|item),1,-126514656.0
1000,0.06526565551757812,(item_latents|constant),1,-199586.90625
2000,0.0946495532989502,(item_latents|constant),1,-806908.0
3000,0.12022662162780762,(item_latents|constant),1,-1960821.125
5000,0.18775725364685059,(item_latents|constant),1,-5441455.0
7000,0.24319934844970703,(item_latents|constant),1,-10471040.0
10000,0.3319690227508545,(item_latents|constant),1,-24866164.0
30000,0.9302723407745361,(item_latents|constant),1,-171000592.0
50000,1.6749191284179688,(item_latents|constant),1,-501377984.0
70000,2.192864179611206,(item_latents|constant),1,-1123543552.0
100000,3.21610689163208,(item_latents|constant),1,-2153072896.0
200000,6.067558288574219,(item_latents|constant),1,-8790903808.0
1000,0.08191657066345215,(user_latents|item) + (item_latents|constant),2,-307240.90625
2000,0.12584972381591797,(user_latents|item) + (item_latents|constant),2,-1274240.125
3000,0.17111587524414062,(user_latents|item) + (item_latents|constant),2,-2335029.0
5000,0.2631809711456299,(user_latents|item) + (item_latents|constant),2,-5033083.5
7000,0.3545565605163574,(user_latents|item) + (item_latents|constant),2,-9619579.0
10000,0.5705196857452393,(user_latents|item) + (item_latents|constant),2,-15060141.0
30000,1.5540788173675537,(user_latents|item) + (item_latents|constant),2,-173956800.0
50000,2.679504871368408,(user_latents|item) + (item_latents|constant),2,-426725568.0
70000,3.5363409519195557,(user_latents|item) + (item_latents|constant),2,-1123886208.0
100000,5.045206308364868,(user_latents|item) + (item_latents|constant),2,-1739327232.0
200000,11.143479347229004,(user_latents|item) + (item_latents|constant),2,-7322030080.0
1000,0.06870293617248535,(user_latents|item),2,-6110.65380859375
2000,0.09582209587097168,(user_latents|item),2,-47672.0625
3000,0.12737035751342773,(user_latents|item),2,-279745.0625
5000,0.19041824340820312,(user_latents|item),2,-903743.75
7000,0.2514190673828125,(user_latents|item),2,-1306025.75
10000,0.3455774784088135,(user_latents|item),2,-1618704.25
30000,0.9645743370056152,(user_latents|item),2,-7076230.0
50000,1.6886446475982666,(user_latents|item),2,-15309409.0
70000,2.3365914821624756,(user_latents|item),2,-27677368.0
100000,3.293267250061035,(user_latents|item),2,-47829644.0
200000,6.430810213088989,(user_latents|item),2,-122159176.0
1000,0.06501650810241699,(item_latents|constant),2,-175405.890625
2000,0.09858989715576172,(item_latents|constant),2,-932394.75
3000,0.13108539581298828,(item_latents|constant),2,-2089630.875
5000,0.19396066665649414,(item_latents|constant),2,-5112413.5
7000,0.2524535655975342,(item_latents|constant),2,-10910382.0
10000,0.338733434677124,(item_latents|constant),2,-19831268.0
30000,0.9860808849334717,(item_latents|constant),2,-171890496.0
50000,1.7119579315185547,(item_latents|constant),2,-498568320.0
70000,2.361598253250122,(item_latents|constant),2,-1080284544.0
100000,3.2023682594299316,(item_latents|constant),2,-2678678016.0
200000,6.723690032958984,(item_latents|constant),2,-8510245888.0
1000,0.08273935317993164,(user_latents|item) + (item_latents|constant),3,-274494.375
2000,0.12990140914916992,(user_latents|item) + (item_latents|constant),3,-1108047.5
3000,0.17495298385620117,(user_latents|item) + (item_latents|constant),3,-2377164.5
5000,0.26753997802734375,(user_latents|item) + (item_latents|constant),3,-5009649.0
7000,0.3681762218475342,(user_latents|item) + (item_latents|constant),3,-7860446.5
10000,0.5472545623779297,(user_latents|item) + (item_latents|constant),3,-15664020.0
30000,1.4275786876678467,(user_latents|item) + (item_latents|constant),3,-170655408.0
50000,3.780726671218872,(user_latents|item) + (item_latents|constant),3,-413514400.0
70000,3.6713900566101074,(user_latents|item) + (item_latents|constant),3,-1006212480.0
100000,5.0175817012786865,(user_latents|item) + (item_latents|constant),3,-1679320064.0
200000,9.435563325881958,(user_latents|item) + (item_latents|constant),3,-7628163584.0
1000,0.06670975685119629,(user_latents|item),3,-5972.9111328125
2000,0.09638476371765137,(user_latents|item),3,-53821.3515625
3000,0.12825775146484375,(user_latents|item),3,-293698.625
5000,0.1909630298614502,(user_latents|item),3,-1170934.25
7000,0.25148463249206543,(user_latents|item),3,-1406549.875
10000,0.3464217185974121,(user_latents|item),3,-1515658.0
30000,0.9638981819152832,(user_latents|item),3,-7382065.0
50000,1.7350835800170898,(user_latents|item),3,-15646794.0
70000,2.2672228813171387,(user_latents|item),3,-28395468.0
100000,3.159043073654175,(user_latents|item),3,-45872712.0
200000,6.412329196929932,(user_latents|item),3,-120314176.0
1000,0.06342363357543945,(item_latents|constant),3,-185689.78125
2000,0.09772515296936035,(item_latents|constant),3,-735118.75
3000,0.12312102317810059,(item_latents|constant),3,-2030549.375
5000,0.1824638843536377,(item_latents|constant),3,-5639274.0
7000,0.28263425827026367,(item_latents|constant),3,-9645960.0
10000,0.33934903144836426,(item_latents|constant),3,-19199162.0
30000,0.9310116767883301,(item_latents|constant),3,-183230720.0
50000,1.6355464458465576,(item_latents|constant),3,-584072704.0
70000,2.323164224624634,(item_latents|constant),3,-969268480.0
100000,3.279343843460083,(item_latents|constant),3,-2050038272.0
200000,6.252844333648682,(item_latents|constant),3,-7464961536.0
1000,0.08354949951171875,(user_latents|item) + (item_latents|constant),4,-371956.375
2000,0.12947869300842285,(user_latents|item) + (item_latents|constant),4,-1303786.875
3000,0.17517757415771484,(user_latents|item) + (item_latents|constant),4,-2100847.5
5000,0.2671220302581787,(user_latents|item) + (item_latents|constant),4,-5068889.5
7000,0.3889286518096924,(user_latents|item) + (item_latents|constant),4,-8083411.0
10000,0.5081205368041992,(user_latents|item) + (item_latents|constant),4,-18786198.0
30000,2.047705888748169,(user_latents|item) + (item_latents|constant),4,-136422704.0
50000,2.6147918701171875,(user_latents|item) + (item_latents|constant),4,-451840320.0
70000,3.347468137741089,(user_latents|item) + (item_latents|constant),4,-936236480.0
100000,4.933358192443848,(user_latents|item) + (item_latents|constant),4,-1846455296.0
200000,9.466951370239258,(user_latents|item) + (item_latents|constant),4,-7611222016.0
1000,0.06740474700927734,(user_latents|item),4,-6064.6640625
2000,0.09632372856140137,(user_latents|item),4,-49394.36328125
3000,0.12924838066101074,(user_latents|item),4,-356277.0
5000,0.19188261032104492,(user_latents|item),4,-1039055.4375
7000,0.2538890838623047,(user_latents|item),4,-1674710.25
10000,0.34719014167785645,(user_latents|item),4,-1692343.375
30000,0.9693331718444824,(user_latents|item),4,-7428765.0
50000,1.7367866039276123,(user_latents|item),4,-15226074.0
70000,2.3595948219299316,(user_latents|item),4,-26476436.0
100000,3.240501642227173,(user_latents|item),4,-46259868.0
200000,6.4093053340911865,(user_latents|item),4,-121995160.0
1000,0.06451010704040527,(item_latents|constant),4,-210596.78125
2000,0.09369707107543945,(item_latents|constant),4,-851252.375
3000,0.12465500831604004,(item_latents|constant),4,-1807844.25
5000,0.18899250030517578,(item_latents|constant),4,-5440540.0
7000,0.24128270149230957,(item_latents|constant),4,-11103880.0
10000,0.32750463485717773,(item_latents|constant),4,-19106340.0
30000,0.9245777130126953,(item_latents|constant),4,-190281856.0
50000,2.751657009124756,(item_latents|constant),4,-513466496.0
70000,2.665369749069214,(item_latents|constant),4,-947269760.0
100000,3.3404853343963623,(item_latents|constant),4,-2042903424.0
200000,6.722533226013184,(item_latents|constant),4,-7729518592.0
